Employee Code,Employee Name,Department,Designation,Date,Shift,In,Out,Work_Hours,Total-OT-Hours,Attendance
E001,Anita Kumar,Staff,HR Executive,2026-07-01,GS,09:02:00,18:15:00,7.55,0.0,P
E001,Anita Kumar,Staff,HR Executive,2026-07-02,GS,09:05:00,18:34:00,8.97,0.97,P
E001,Anita Kumar,Staff,HR Executive,2026-07-03,GS,09:00:00,18:05:00,8.34,0.34,P
E001,Anita Kumar,Staff,HR Executive,2026-07-04,GS,09:00:00,18:35:00,8.51,0.51,P
E001,Anita Kumar,Staff,HR Executive,2026-07-05,GS,,,0.0,0.0,WO
E001,Anita Kumar,Staff,HR Executive,2026-07-06,GS,09:04:00,18:26:00,8.8,0.8,P
E001,Anita Kumar,Staff,HR Executive,2026-07-07,GS,09:00:00,18:10:00,8.68,0.68,P
E001,Anita Kumar,Staff,HR Executive,2026-07-08,GS,09:01:00,18:13:00,8.18,0.18,P
E001,Anita Kumar,Staff,HR Executive,2026-07-09,GS,,,0.0,0.0,A
E001,Anita Kumar,Staff,HR Executive,2026-07-10,GS,09:00:00,18:22:00,7.69,0.0,P
E002,Ravi Shankar,Staff,Accountant,2026-07-01,GS,09:00:00,18:29:00,8.71,0.71,P
E002,Ravi Shankar,Staff,Accountant,2026-07-02,GS,09:03:00,18:05:00,9.45,1.45,P
E002,Ravi Shankar,Staff,Accountant,2026-07-03,GS,09:04:00,18:23:00,9.16,1.16,P
E002,Ravi Shankar,Staff,Accountant,2026-07-04,GS,09:00:00,18:42:00,8.91,0.91,P
E002,Ravi Shankar,Staff,Accountant,2026-07-05,GS,,,0.0,0.0,WO
E002,Ravi Shankar,Staff,Accountant,2026-07-06,GS,09:00:00,18:14:00,8.08,0.08,P
E002,Ravi Shankar,Staff,Accountant,2026-07-07,GS,,,0.0,0.0,PL
E002,Ravi Shankar,Staff,Accountant,2026-07-08,GS,09:02:00,18:10:00,8.41,0.41,P
E002,Ravi Shankar,Staff,Accountant,2026-07-09,GS,09:02:00,18:44:00,7.92,0.0,P
E002,Ravi Shankar,Staff,Accountant,2026-07-10,GS,,,0.0,0.0,CO
E003,Priya Desai,Cutting Department,Tailor,2026-07-01,GS,09:01:00,18:34:00,8.72,0.72,P
E003,Priya Desai,Cutting Department,Tailor,2026-07-02,GS,09:03:00,18:17:00,7.83,0.0,P
E003,Priya Desai,Cutting Department,Tailor,2026-07-03,GS,,,0.0,0.0,A
E003,Priya Desai,Cutting Department,Tailor,2026-07-04,GS,09:05:00,18:20:00,8.61,0.61,P
E003,Priya Desai,Cutting Department,Tailor,2026-07-05,GS,,,0.0,0.0,WO
E003,Priya Desai,Cutting Department,Tailor,2026-07-06,GS,09:01:00,18:02:00,9.05,1.05,P
E003,Priya Desai,Cutting Department,Tailor,2026-07-07,GS,09:00:00,18:13:00,8.3,0.3,P
E003,Priya Desai,Cutting Department,Tailor,2026-07-08,GS,,,0.0,0.0,CO
E003,Priya Desai,Cutting Department,Tailor,2026-07-09,GS,09:01:00,18:41:00,8.94,0.94,P
E003,Priya Desai,Cutting Department,Tailor,2026-07-10,GS,09:05:00,18:29:00,9.27,1.27,P
E004,Suresh Babu,Finishing Department,Helper,2026-07-01,GS,09:05:00,18:35:00,7.78,0.0,P
E004,Suresh Babu,Finishing Department,Helper,2026-07-02,GS,09:03:00,18:37:00,8.99,0.99,P
E004,Suresh Babu,Finishing Department,Helper,2026-07-03,GS,09:01:00,18:32:00,7.94,0.0,P
E004,Suresh Babu,Finishing Department,Helper,2026-07-04,GS,09:00:00,18:09:00,9.01,1.01,P
E004,Suresh Babu,Finishing Department,Helper,2026-07-05,GS,,,0.0,0.0,WO
E004,Suresh Babu,Finishing Department,Helper,2026-07-06,GS,09:03:00,18:38:00,9.08,1.08,P
E004,Suresh Babu,Finishing Department,Helper,2026-07-07,GS,09:03:00,18:33:00,8.26,0.26,P
E004,Suresh Babu,Finishing Department,Helper,2026-07-08,GS,09:00:00,18:43:00,8.61,0.61,P
E004,Suresh Babu,Finishing Department,Helper,2026-07-09,GS,09:04:00,18:17:00,8.86,0.86,P
E004,Suresh Babu,Finishing Department,Helper,2026-07-10,GS,09:02:00,18:27:00,8.18,0.18,P
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-01,GS,09:05:00,18:16:00,7.51,0.0,P
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-02,GS,,,0.0,0.0,A
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-03,GS,09:00:00,18:40:00,8.52,0.52,P
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-04,GS,09:04:00,18:12:00,8.78,0.78,P
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-05,GS,,,0.0,0.0,WO
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-06,GS,09:04:00,18:33:00,9.03,1.03,P
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-07,GS,,,0.0,0.0,CO
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-08,GS,09:00:00,18:23:00,8.48,0.48,P
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-09,GS,,,0.0,0.0,PL
E005,Meena Iyer,Cutting Department,Supervisor,2026-07-10,GS,09:00:00,18:15:00,8.12,0.12,P
